Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1989,1,11,3,2229,2230,515,515,UA,184,NA,286,285,NA,0,-1,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,12,4,2230,2230,513,515,UA,184,NA,283,285,NA,-2,0,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,13,5,2240,2230,531,515,UA,184,NA,291,285,NA,16,10,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,15,7,2232,2230,544,515,UA,184,NA,312,285,NA,29,2,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,16,1,2230,2230,539,515,UA,184,NA,309,285,NA,24,0,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,17,2,2227,2230,520,515,UA,184,NA,293,285,NA,5,-3,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,18,3,2228,2230,533,515,UA,184,NA,305,285,NA,18,-2,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,19,4,2229,2230,524,515,UA,184,NA,295,285,NA,9,-1,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,20,5,2229,2230,517,515,UA,184,NA,288,285,NA,2,-1,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,21,6,2241,2230,504,515,UA,184,NA,263,285,NA,-11,11,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,22,7,2253,2230,532,515,UA,184,NA,279,285,NA,17,23,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,23,1,2228,2230,516,515,UA,184,NA,288,285,NA,1,-2,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,24,2,2230,2230,518,515,UA,184,NA,288,285,NA,3,0,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,25,3,2229,2230,531,515,UA,184,NA,302,285,NA,16,-1,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,26,4,2228,2230,544,515,UA,184,NA,316,285,NA,29,-2,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,27,5,2229,2230,541,515,UA,184,NA,312,285,NA,26,-1,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,28,6,2231,2230,536,515,UA,184,NA,305,285,NA,21,1,HNL,SFO,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
